productcategory,productbrand,productprice,customerage,customergender,purchasefrequency,customersatisfaction,purchaseintent
1,3,312.94966810515353,18,0,2,1,0
2,0,980.3894043187454,35,1,7,2,1
3,0,2606.718292835622,63,0,1,5,1
1,0,870.3954502496597,63,1,10,3,1
3,2,1798.9558746776083,57,0,17,3,0
1,0,373.1483247868712,37,1,8,1,1
1,0,2330.036775244811,26,1,5,5,1
1,1,780.1014938488929,35,0,12,5,1
0,3,2264.5615834054943,19,1,3,4,1
0,1,1001.6240058234738,66,1,8,4,1
1,3,879.1223675529482,20,1,1,3,0
0,4,1563.857731658311,38,1,14,2,1
3,0,1297.3669317328886,48,0,1,3,0
4,2,1756.8383091267897,62,0,2,5,1
4,4,2486.693286619063,54,0,12,4,1
3,1,1280.4560806972363,33,0,1,2,0
3,0,2388.495395185978,29,1,3,4,1
1,4,420.7798214919339,26,0,16,1,0
3,4,1224.1746781069862,28,0,4,5,0
2,0,2441.432737056144,43,0,5,5,1
1,3,1073.0660159873928,58,0,4,3,0
4,1,2815.031730919124,34,0,12,2,0
0,1,206.6678154064927,65,0,18,4,1
4,1,374.5263838112924,67,1,7,5,1
4,3,835.6847452912937,23,0,17,2,0
0,1,887.2720459258376,61,1,10,1,1
3,0,2158.442394780764,58,1,12,4,1
1,4,1581.9731763039106,64,0,5,5,1
2,1,2096.8888459460813,37,0,18,1,0
4,4,2106.732765049964,55,0,15,5,1
1,3,2697.271509962217,56,1,10,2,1
3,1,1342.5833893635877,28,1,17,4,1
3,3,2633.699012968075,42,0,2,2,0
1,4,958.3976167280938,57,1,2,2,1
1,4,2417.032919964477,39,1,9,4,1
1,1,1678.2869837094277,50,0,14,5,1
4,3,2522.5280253448286,52,1,14,5,1
3,3,1440.0111227950945,50,1,1,2,1
0,0,322.67334163205305,40,0,7,3,0
2,0,688.2640303377825,41,0,10,2,0
2,1,947.0584631657032,29,1,18,2,0
2,1,2265.9182058536057,65,1,19,2,1
3,3,1951.991750219611,30,1,2,1,0
4,1,2303.116596130776,47,1,4,3,1
2,4,2618.423157158488,60,1,18,5,1
1,0,660.132983195642,29,1,9,1,0
3,2,1568.823404515806,41,1,17,3,1
0,0,2164.422876906346,21,0,16,3,0
2,2,364.19049763848017,33,1,17,4,1
1,4,1513.5041070427055,49,1,1,5,1
0,0,1172.248335400585,57,0,9,2,0
3,3,1012.1081059199164,26,0,18,5,0
2,2,1283.7024652961493,21,1,4,4,1
1,1,2828.711372651023,19,1,12,2,0
1,1,202.4653977933268,18,0,1,5,0
2,0,551.4949064847992,27,1,5,4,1
2,0,2674.547599961564,51,0,19,2,0
0,3,803.5864283952769,25,0,6,5,0
3,2,2721.57863227861,25,1,15,3,0
3,4,468.4546849683096,69,0,2,3,0
4,3,1836.615958725286,67,0,10,2,0
2,2,1659.246074043603,44,1,17,5,1
3,3,2093.9952113395857,69,0,11,3,0
0,4,585.7831178887856,33,1,11,4,1
1,3,2724.653034742052,67,0,3,1,0
2,4,1360.8525588751738,37,0,17,5,1
1,1,2956.233181351217,24,0,9,5,0
3,4,750.9570883233584,23,0,17,5,0
2,3,2130.78601023082,28,0,19,2,0
2,2,385.2980221530637,22,1,7,4,1
2,2,2865.4575424544582,61,0,19,5,1
2,0,1975.582755196506,19,1,4,1,0
4,1,2559.972025462975,67,1,16,5,1
2,3,1613.4590505446265,25,1,2,2,0
3,0,1500.030111824888,62,0,3,3,0
1,3,1969.6545621764624,35,0,10,1,0
3,3,262.1532767012959,41,1,18,4,1
3,3,1797.2982467754682,33,0,1,4,1
1,2,789.3074817382742,42,1,16,4,1
1,4,826.6047852365798,26,0,14,5,0
4,4,2351.62742300165,53,0,12,4,1
2,2,1227.804031228086,51,0,18,1,0
2,2,124.8272897450507,68,1,3,3,1
3,1,1111.6083652815587,53,0,6,3,0
1,0,2647.021562406322,60,0,5,2,0
3,2,1351.257829183865,67,1,13,1,1
0,4,233.6745297715764,69,0,7,1,0
3,4,1191.1999374916877,68,0,11,5,1
